500,1,150000
600,1,155000
700,1,157500
750,2,190000
770,2,180000
850,2,190000
800,2,180000
950,2,190000
900,2,180000
1240,2,230500
1030,2,210900
1150,2,198900
1260,2,259900
1100,2,242500
1320,2,299900
1230,2,199900
1070,2,170900
1000,2,147000
1230,2,229900
1660,3,368500
1000,2,179900
1410,2,232000
1100,2,249900
1200,2,209000
2100,3,369000
1700,3,329000
1900,3,299900
2230,3,329900
1810,3,285900
1430,3,249900
1900,3,299000
1530,3,314900
1420,3,198900
1380,3,212000
1490,3,242500
1970,3,239900
2000,3,347000
1890,3,320000
1760,3,252900
1880,3,255000
1600,3,242900
1950,3,259900
2100,3,287000
1450,3,360500
2320,3,469000
2200,3,475000
2100,3,287000
1830,3,349900
2630,4,399900
2240,4,314900
3130,4,579900
2220,4,345000
2400,4,399000
3000,4,510000
2500,4,410000
2300,4,449900
2600,4,460900
3100,4,599000
2550,4,415900
2820,4,440000
2900,4,499000
2750,4,420000
3400,5,650000
3200,5,550000
3300,5,577900
