555,1,30.50
577,1,37.57
595,1,35.70
633,1,41.14
652,1,46.16
686,1,48.88
710,2,51.70
733,2,48.33
755,2,47.55
777,2,55.77
795,2,55.67
808,2,48.00
844,2,58.64
864,2,62.68
880,2,44.88
917,2,55.27
923,2,59.69
927,2,63.81
970,2,69.00
990,2,49.90
999,2,59.94
1010,2,70.70
1055,2,65.57
1022,2,61.36
1071,2,67.39
1093,2,75.57
1110,3,71.50
1155,3,75.30
1135,3,68.10
1188,3,71.64
1191,3,73.11
1200,3,72.21
1222,3,78.12
1273,3,81.67
1284,3,84.12
1325,3,85.05
1391,3,79.71
1365,3,76.57
1442,4,86.52
1470,4,101.90
1575,4,102.50
1648,4,98.88
1735,4,107.53
1872,4,112.32
1951,4,117.17
2020,5,122.20
2142,5,141.11
2205,5,125.67
2337,5,139.31
2450,5,150.00
500,1,25.00
2500,6,200.00
